,글쎄요_V1,보고싶어요_V2,참여인원_V3,평점_V4,title,y,SF_V5,가족_V6,공연실황_V7,공포_V8,느와르_V9,다큐멘터리_V10,드라마_V11,멜로/로맨스_V12,모험_V13,뮤지컬_V14,미스터리_V15,범죄_V16,블랙코미디_V17,서부_V18,서사_V19,서스펜스_V20,스릴러_V21,애니메이션_V22,액션_V23,액션웹무비_V24,에로_V25,전쟁_V26,코미디_V27,코미디TV영화_V28,코미디웹무비_V29,판타지_V30,판타지웹무비_V31,15세_V32,전체_V33,청소년_V34,영화,너무,개봉,정말,보고,진짜,대박,감독,시사회,사람,감동,예고편,최고,한효주,한국,경수,이번,응원,무조건,소재,이야기,흥행,송강호,아이,일베충,강동원,모습,대통령,하정우,오랜만,대작,진실,디오,북한,동생,노무현,코믹,테러,좀비,일베,코미디,간다,마동석,일본,올해,미화,영상,새끼,천만,반전,공유,긴장감,스릴,장르,카트,차태현,폭동,탄탄,누나,빨갱이,하지원,자기,조정석,공포영화,애니,애니메이션,여름,클라라,주원,야구,꿀잼,진영,공포,고릴라,사과,천안함,김대중,최강희,전라도,성동일,개표,종북,탈세,송혜교,세월호,재범,박서준,이선균,창조,뇌물,변호사,다이빙벨,진기,불륜,장병,우기,극장판,봉태규,링링,지수
10,0,0,299,8.45,1번가의 기적 (Miracle On 1st Street),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,-0.08154277489465515,-0.19035399362055455,0.0,-1.1788482419522968,-0.2847955705076231,0.0,-0.31010732618055226,0.0,-0.687780404481134,-0.22745522485673064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286775505247196,0.0,0.0,0.0,0.9610291028610037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9265181225872943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,32,230,271,8.49,2009 G-DRAGON 콘서트 SHINE A LIGHT (G-DRAGON LIVE CONDERT SHINE A LIGHT),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19035399362055455,0.0,0.0,-0.2847955705076231,-0.7187734322282989,-0.31010732618055226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6743077036564418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,23,7.74,2009 로스트 메모리즈 (2009 - Lost Memories),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.08154277489465515,0.0,0.0,-1.1788482419522968,0.0,0.0,-0.31010732618055226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,212,9.63,2010 빅뱅 라이브 콘서트 BIGSHOW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,-0.055217410246344495,-1.1788482419522968,-0.2847955705076231,-0.7187734322282989,0.0,0.0,0.0,0.0,0.0,0.0,-1.1958715126443735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.641413776990452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0,1577,5.89,26년 (26Years),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,-0.08154277489465515,-0.19035399362055455,-0.055217410246344495,-1.1788482419522968,-0.2847955705076231,-0.7187734322282989,-0.31010732618055226,2.2519181888516586,-0.687780404481134,-0.22745522485673064,-0.42006713623836744,0.35023146813497646,-1.1958715126443735,0.0,0.5431023598085192,0.0,-0.5760920089239139,0.264932652748673,-1.4105355081753566,0.4908096543196173,-0.25081968963546086,-0.20478747349522736,0.0,4.641413776990452,7.1889882066966955,0.0,-0.6222993761606951,1.3678443742618454,0.0,0.0,-0.5863674668195141,-1.2715230282260257,0.0,2.2026444925460535,-1.9974859377207597,1.7740966691495226,0.0,0.8887575094960612,-1.9254415127508773,4.7305936283148435,0.0,0.6743077036564418,0.0,-0.5756338144925831,-1.311140745528836,1.5002522155085904,0.0,0.15235744654388964,-1.336552644956263,-0.10320667521158317,0.0,0.0,-0.5529547529530942,0.0,0.0,0.0,4.1846515394235135,-0.4899057225840725,0.0,0.40392602979768394,0.0,-0.6400138625793237,0.0,0.0,1.8615745333352647,4.000842891632814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6997680652581566,0.0,0.48864415314002274,0.0,0.0,0.2565362611278128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17055056229599383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0,139,8.77,2AM SHOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1788482419522968,-0.2847955705076231,0.0,0.0,0.0,0.0,-0.22745522485673064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,12,10.0,3xFTM (3xFTM),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,-0.08154277489465515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,13,26,17,5.47,3분 파트너,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4908096543196173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,447,9.73,48미터 (48M),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,-0.08154277489465515,0.0,-0.055217410246344495,-1.1788482419522968,-0.2847955705076231,0.0,0.0,0.0,0.0,-0.22745522485673064,0.0,0.0,-1.1958715126443735,0.0,0.5431023598085192,0.0,0.0,0.0,0.0,0.0,-0.25081968963546086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2026444925460535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15235744654388964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40392602979768394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565362611278128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,221,8.77,4교시 추리영역,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,-0.055217410246344495,-1.1788482419522968,0.0,0.0,-0.31010732618055226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4908096543196173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
