,Unnamed: 0,Unnamed: 0.1,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
39,39,39,295,8543,429,9.68,GROW: 인피니트의 리얼 청춘 라이프,0,82,[''],['2014.12.04'],전체,2014,12
40,40,40,0,0,55,7.25,HAAN 한길수 (Haan),0,92,['스릴러'],['2005.09.23'],12세,2005,9
42,42,42,42,112,15,7.07,JSA 남북공동초등학교,0,87,['드라마'],[],전체,0,0
,,,0,0,11,4.55,Jam Docu 강정 (Jam Docu GangJeong),0,104,['다큐멘터리'],['2011.12.22'],,2011,12
43,43,43,0,0,185,9.18,MB의 추억 (Remembrance of MB),0,65,['다큐멘터리'],['2012.10.18'],15세,2012,10
44,44,44,0,0,166,6.61,Mr. 로빈 꼬시기 (Seducing Mr. Perfect),0,107,"['멜로/로맨스', '코미디']",['2006.12.07'],12세,2006,12
45,45,45,0,0,645,9.09,Mr. 아이돌,0,114,['드라마'],['2011.11.03'],12세,2011,11
46,46,46,51,218,23,9.83,P.S. 걸 (P.S. Girls),0,91,"['스릴러', '멜로/로맨스']",['2016.02.04'],청소년,2016,2
47,47,47,222,3879,126,8.88,SMTOWN THE STAGE,0,107,['다큐멘터리'],['2015.08.13'],전체,2015,8
48,48,48,1071,12208,397,9.2,가려진 시간 (Vanishing Time: A Boy Who Returned),0,129,"['드라마', '판타지']",['2016.11.16'],12세,2016,11
49,49,49,26,33,13,6.15,가루지기: 변강쇠 더 비기닝,0,81,['멜로/로맨스'],['2017.08.28'],청소년,2017,8
50,50,50,0,0,444,5.21,가문의 부활 - 가문의 영광 3 (Marrying The Mafia 3),0,128,['코미디'],['2006.09.21'],15세,2006,9
51,51,51,0,0,429,5.34,가문의 영광 4 - 가문의 수난,1,103,"['코미디', '액션']",['2011.09.07'],15세,2011,9
52,52,52,0,0,837,8.37,가문의 영광5-가문의 귀환 (Return of The Mafia),0,104,['코미디'],['2012.12.19'],15세,2012,12
53,53,53,0,0,362,6.53,가문의 위기 - 가문의 영광 2 (Marrying The Mafia II: Gamunui Wigi),0,115,['코미디'],['2005.09.07'],15세,2005,9
54,54,54,0,0,103,8,가발 (The Wig),0,106,"['공포', '미스터리']",['2005.08.12'],15세,2005,8
55,55,55,0,0,55,8.91,가시꽃 (Fatal),0,103,['드라마'],['2013.08.22'],청소년,2013,8
